dataset,Classifier,weighting_strategy,hardness_metric,seed,metric,baseline_value,augmented_value,utility_gain
Vertebral,SVC,self_paced,CB,670488,F1 Score,0.9882352941176472,0.9882352941176472,0.0
Vertebral,SVC,self_paced,CB,670488,Specificity,0.95,0.95,0.0
Vertebral,SVC,self_paced,CB,670488,Balanced Accuracy,0.975,0.975,0.0
Vertebral,SVC,self_paced,CB,116740,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,116740,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,116740,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,116740,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,116740,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,26226,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,26226,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,26226,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,26226,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,CB,26226,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,670488,Precision,0.9767441860465116,0.9767441860465116,0.0
Vertebral,SVC,self_paced,CL,670488,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,670488,F1 Score,0.9882352941176472,0.9882352941176472,0.0
Vertebral,SVC,self_paced,CL,670488,Specificity,0.95,0.95,0.0
Vertebral,SVC,self_paced,CL,670488,Balanced Accuracy,0.975,0.975,0.0
Vertebral,SVC,self_paced,CL,116740,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,116740,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,116740,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,116740,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,116740,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,26226,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,26226,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,26226,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,26226,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,CL,26226,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,670488,Precision,0.9767441860465116,0.9767441860465116,0.0
Vertebral,SVC,self_paced,CLD,670488,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,670488,F1 Score,0.9882352941176472,0.9882352941176472,0.0
Vertebral,SVC,self_paced,CLD,670488,Specificity,0.95,0.95,0.0
Vertebral,SVC,self_paced,CLD,670488,Balanced Accuracy,0.975,0.975,0.0
Vertebral,SVC,self_paced,CLD,116740,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,116740,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,116740,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,116740,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,116740,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,26226,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,26226,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,26226,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,26226,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,CLD,26226,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,670488,Precision,0.9767441860465116,0.9767441860465116,0.0
Vertebral,SVC,self_paced,DCP,670488,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,670488,F1 Score,0.9882352941176472,0.9882352941176472,0.0
Vertebral,SVC,self_paced,DCP,670488,Specificity,0.95,0.95,0.0
Vertebral,SVC,self_paced,DCP,670488,Balanced Accuracy,0.975,0.975,0.0
Vertebral,SVC,self_paced,DCP,116740,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,116740,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,116740,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,116740,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,116740,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,26226,Precision,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,26226,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,26226,F1 Score,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,26226,Specificity,1.0,1.0,0.0
Vertebral,SVC,self_paced,DCP,26226,Balanced Accuracy,1.0,1.0,0.0
Vertebral,SVC,self_paced,DS,670488,Precision,0.9767441860465116,0.9767441860465116,0.0
Vertebral,SVC,self_paced,DS,670488,Recall,1.0,1.0,0.0
Vertebral,SVC,self_paced,DS,670488,F1 Score,0.9882352941176472,0.9882352941176472,0.0
Vertebral,SVC,self_paced,DS,670488,Specificity,0.95,0.95,0.0
Vertebral,SVC,self_paced,DS,670488,Balanced Accuracy,0.975,0.975,0.0
Vertebral,SVC,self_paced,DS,116740,Precision,1.0,1.0,0.0
